id,budget,loss,planner,model_based
"(0, 0, 0)",0.3333333333333333,100000.37356813684,EST,0
"(0, 0, 1)",0.3333333333333333,100000.95983764855,LazyPRM,0
"(0, 0, 2)",0.3333333333333333,100000.95983764855,SBL,0
"(0, 0, 3)",0.3333333333333333,100000.69864381611,RRT,0
"(0, 0, 4)",0.3333333333333333,100000.42593009227,ProjEST,0
"(0, 0, 5)",0.3333333333333333,100000.95983764855,SBL,0
"(0, 0, 6)",0.3333333333333333,100000.95983764855,LBKPIECE,0
"(0, 0, 7)",0.3333333333333333,100000.57608515151,KPIECE,0
"(0, 0, 8)",0.3333333333333333,100000.95983764855,BiEST,0
"(0, 0, 9)",0.3333333333333333,100000.95983764855,BKPIECE,0
"(0, 0, 10)",0.3333333333333333,100000.55422778345,EST,0
"(0, 0, 11)",0.3333333333333333,100000.60838767047,LBKPIECE,0
"(0, 0, 12)",0.3333333333333333,100000.95983764855,BKPIECE,0
"(0, 0, 13)",0.3333333333333333,100000.49744745395,LazyPRM,0
"(0, 0, 14)",0.3333333333333333,100000.95983764855,PRM,0
"(0, 0, 15)",0.3333333333333333,100000.52984228048,KPIECE,0
"(0, 0, 16)",0.3333333333333333,100000.95983764855,LBKPIECE,0
"(0, 0, 17)",0.3333333333333333,100000.61947822732,KPIECE,0
"(0, 0, 18)",0.3333333333333333,100000.67779405766,LazyPRM,0
"(0, 0, 19)",0.3333333333333333,100000.95983764855,SBL,0
"(0, 0, 20)",0.3333333333333333,100000.36521860544,RRTConnect,0
"(0, 0, 21)",0.3333333333333333,100000.95983764855,PRM,1
"(0, 0, 22)",0.3333333333333333,100000.63601263195,SBL,1
"(0, 0, 23)",0.3333333333333333,100000.23956506712,STRIDE,1
"(0, 0, 24)",0.3333333333333333,100000.95983764855,PRM,1
"(0, 0, 25)",0.3333333333333333,100000.5412976336,RRT,1
"(0, 0, 26)",0.3333333333333333,100000.45200650918,RRT,1
"(0, 0, 27)",0.3333333333333333,100000.30234825717,STRIDE,1
"(0, 0, 28)",0.3333333333333333,100000.50854806746,PDST,0
"(0, 0, 29)",0.3333333333333333,100000.57229905335,STRIDE,1
"(0, 0, 30)",0.3333333333333333,100000.95983764855,BiEST,1
"(0, 0, 31)",0.3333333333333333,100000.95983764855,BKPIECE,1
"(0, 0, 32)",0.3333333333333333,100000.62434421443,BiEST,0
"(0, 0, 33)",0.3333333333333333,100000.3242487404,RRTConnect,1
"(0, 0, 34)",0.3333333333333333,100000.61637990693,ProjEST,1
"(0, 0, 35)",0.3333333333333333,100000.95983764855,BiEST,1
"(0, 0, 36)",0.3333333333333333,100000.95983764855,BiEST,0
"(0, 0, 37)",0.3333333333333333,100000.95983764855,SBL,1
"(0, 0, 38)",0.3333333333333333,100000.40409960045,RRT,1
"(0, 0, 39)",0.3333333333333333,100000.95983764855,LazyPRM,0
"(0, 0, 40)",0.3333333333333333,100000.95983764855,BKPIECE,0
"(0, 0, 41)",0.3333333333333333,100000.65329350521,BKPIECE,0
"(0, 0, 42)",0.3333333333333333,100000.95983764855,BiEST,1
"(0, 0, 43)",0.3333333333333333,100000.72409713268,RRT,0
"(0, 0, 44)",0.3333333333333333,100000.85780177079,BKPIECE,1
"(0, 0, 45)",0.3333333333333333,100000.73493423073,EST,1
"(0, 0, 46)",0.3333333333333333,100000.63623591594,PRM,1
"(0, 0, 47)",0.3333333333333333,100000.99685091809,PRM,1
"(0, 0, 48)",0.3333333333333333,100000.95983764855,PRM,1
"(0, 0, 49)",0.3333333333333333,100000.48975687598,EST,1
"(0, 0, 50)",0.3333333333333333,100000.96524976306,BiEST,1
"(0, 0, 51)",0.3333333333333333,100000.93025476231,LBKPIECE,1
"(0, 0, 52)",0.3333333333333333,100000.95983764855,SBL,1
"(0, 0, 53)",0.3333333333333333,100000.58458302212,BKPIECE,1
"(0, 0, 54)",0.3333333333333333,100000.95983764855,LazyPRM,1
"(0, 0, 55)",0.3333333333333333,100000.88257060848,BKPIECE,1
"(0, 0, 56)",0.3333333333333333,100000.95983764855,BiEST,1
"(0, 0, 57)",0.3333333333333333,100000.95983764855,LBKPIECE,0
"(0, 0, 58)",0.3333333333333333,100000.95983764855,SBL,1
"(0, 0, 59)",0.3333333333333333,100000.95983764855,SBL,1
"(0, 0, 60)",0.3333333333333333,100000.95983764855,BiEST,1
"(0, 0, 61)",0.3333333333333333,100000.4362339524,ProjEST,0
"(0, 0, 62)",0.3333333333333333,100000.95983764855,BiEST,0
"(0, 0, 63)",0.3333333333333333,100000.78464149965,PRM,1
"(0, 0, 64)",0.3333333333333333,100000.95983764855,BKPIECE,1
"(0, 0, 65)",0.3333333333333333,100000.74364733225,RRT,0
"(0, 0, 66)",0.3333333333333333,100000.36109934682,EST,1
"(0, 0, 67)",0.3333333333333333,100000.95983764855,BKPIECE,1
"(0, 0, 68)",0.3333333333333333,100000.95983764855,BiEST,1
"(0, 0, 69)",0.3333333333333333,100000.95983764855,SBL,0
"(0, 0, 70)",0.3333333333333333,100000.95983764855,LBKPIECE,1
"(0, 0, 71)",0.3333333333333333,100000.95983764855,PRM,1
